File	Left Context	Hit	Right Context
2022-12-30_19-00-38_UTC.txt	needs. We will take a deep dive into : What a 	feminine woman 	is and is not, what are a feminine 
2023-01-06_17-01-49_UTC.txt	needs. We will take a deep dive into : What a 	feminine woman 	is and is not, what are a feminine 
2022-12-02_08-22-11_UTC.txt	respect for the frequency it holds.​​​​​​​​ ​​​​​​​​ Being an embodied, empowered 	feminine woman 	is not reading a list “traits” of things 
2024-02-18_11-01-09_UTC.txt	armour works in opposition to what you truly seek.  A 	feminine woman 	is not a passive lady in waiting. She 
2020-09-03_23-19-47_UTC.txt	The gift of the embodied 	feminine woman 	is she holds within her body, heart and 
2022-11-03_09-59-27_UTC.txt	The gift of the embodied 	feminine woman 	is she holds within her body, heart and 
2021-01-29_18-23-22_UTC.txt	𝓛𝓪𝓭𝓲𝓮𝓼, one thing I have noticed as a 	feminine woman 	is that everybody is NOT your friend. Unfortunately, 
2022-05-25_00-03-04_UTC.txt	What I love about being a traditional 	feminine woman 	is that I have the freedom to live 
2024-02-04_18-22-16_UTC.txt	🌸Being a 	feminine woman 	is about your character. It is true that 
2017-06-01_17-23-53_UTC.txt	heart to love him back without all the drama. A 	feminine woman 	is emotionally balanced before dating so she can 
2023-11-02_18-05-34_UTC.txt	This is the truth: an educated, gentle, loving, submissive and 	feminine woman 	is every real man's dream wife. You 
2023-08-31_11-42-29_UTC.txt	he marries a lady; then he becomes a gentleman.'   ✨A 	feminine woman 	is going to add value to man's 
2023-02-15_23-00-42_UTC.txt	One of the best things you can have as a 	feminine woman 	is high standards.​​​​​​​​ ​​​​​​​​ Here's how to set 
2022-10-17_11-11-34_UTC.txt	Wise words. ✨ A true virtue to cultivate as a 	feminine woman 	is knowing when to speak, how to speak, 
2021-08-08_16-29-05_UTC.txt	𝐋𝐮𝐱𝐮𝐫𝐲✨  Ladies, one of most mportant facts about being a 	feminine woman 	is taking care of your inner& outer beauty. 
2023-01-30_20-00-23_UTC.txt	we need to set high standards in our lives as 	feminine woman 	is to better attract the types of experiences 
2022-02-23_23-43-59_UTC.txt	idea of this VERY retro book is that a truly 	feminine woman 	is wholly focused on getting a man by 
2022-10-23_23-22-20_UTC.txt	femininity 💕  . . . #explore #womanhood #fyp #femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity 
2022-10-30_22-14-48_UTC.txt	healing #explore #womanhood #fyp #femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity 
2022-10-31_20-44-54_UTC.txt	dating #healing #explore #womanhood #fyp #femininity #love #feminism #transformation #ripfeminism 	feminine woman 	womanhood feminism femininity 
2022-11-02_22-05-34_UTC.txt	healing #explore #womanhood #fyp #Femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity marriage love dating explore womanhood 
2022-11-13_22-59-45_UTC.txt	more 💕 . . . #explore #womanhood #fyp #femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity 
2022-12-07_23-54-23_UTC.txt	Titus 2:3-5 . . . #explore #womanhood #fyp #femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity 
2022-12-10_23-05-44_UTC.txt	healing #explore #womanhood #fyp #Femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity 
2023-02-17_23-04-56_UTC.txt	bio! . . . #explore #womanhood #fyp #femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity 
2023-02-18_23-01-45_UTC.txt	womanhood #fyp #femininity #God #love #transformation #Christian #viral #trending #ripfeminism 	feminine woman 	womanhood feminism femininity 
2023-02-20_23-06-25_UTC.txt	femininity   . . . #explore #womanhood #fyp #femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity 
2023-02-23_23-18-48_UTC.txt	womanhood #fyp #femininity #God #love #transformation #Christian #viral #trending #ripfeminism 	feminine woman 	womanhood feminism femininity 
2023-02-24_23-09-31_UTC.txt	womanhood #fyp #femininity #God #love #transformation #Christian #viral #trending #ripfeminism 	feminine woman 	womanhood feminism femininity 
2023-02-27_18-37-47_UTC.txt	womanhood #fyp #femininity #God #love #transformation #Christian #viral #trending #ripfeminism 	feminine woman 	womanhood feminism femininity 
2023-03-17_21-48-53_UTC.txt	bio. . . . #explore #womanhood #fyp #femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity 
2023-04-13_22-04-49_UTC.txt	womanhood #fyp #femininity #God #love #transformation #Christian #viral #trending #ripfeminism 	feminine woman 	womanhood feminism femininity 
2023-04-18_22-08-28_UTC.txt	stories. 💕  . . . #explore #womanhood #fyp #femininity #God #love #transformation #Christian #ripfeminism 	feminine woman 	womanhood feminism femininity 
2022-04-11_13-40-07_UTC.txt	for others to walk all over you. You are a 	feminine woman 	who is worthy of love and care.​​​​​​​​ ​​​​​​​​ No, 
2022-04-14_18-00-27_UTC.txt	clothing styles make people treat you definitely. However, as a 	feminine woman 	who is looking to level up I would 
2021-01-29_18-23-22_UTC.txt	lifestyles become to toxic for your feminine journey.   As a 	feminine woman 	who want to level up and have boss 
2022-10-03_18-18-40_UTC.txt	any time. I am always here to help as a 	feminine woman 	who want the best for your journey.   Be 
2023-06-15_19-36-15_UTC.txt	will be tips for men who are seeking a traditional 	feminine woman 	who aim to be a homemaker for her 
2023-02-13_21-01-04_UTC.txt	intrigues me our books that help me grow. For those 	feminine woman 	who are bookworms just like me I want 
2024-06-21_02-07-32_UTC.txt	you out completely.  Now you’re working towards being a 	feminine woman 	who cares about her home, bettering her relationship 
2024-03-05_08-54-39_UTC.txt	called to end cycles of pain, seperation and deception.   The 	feminine woman 	who frees her hardened heart opens herself to 
2020-09-21_14-38-06_UTC.txt	feel and my softness. I am free to be a 	feminine WOMAN 	who isn’t perfect. My birthright is to 
2022-06-16_21-15-05_UTC.txt	t wait too last. Start living the life of a 	feminine woman 	who knows what she wants and is not 
2020-12-11_19-28-46_UTC.txt	is the holiday time surrounded around friends & family 🥰 As a 	feminine woman 	who look forward to being a wife & having 
2023-03-03_17-13-30_UTC.txt	a mother.   I feel all of those traits exhibit a 	feminine woman 	who understand the true essence of being a 
2022-06-21_15-47-32_UTC.txt	we dream of peace and joy! If you are a 	feminine woman 	who wants live a softer life, click the 
2022-08-15_18-44-58_UTC.txt	on this subject. However, have you ever struggled as a 	feminine woman 	to be soft or submissive in a relationship?    
2024-06-26_00-40-51_UTC.txt	because a truly Christian, respectful and valuable man seeks a 	feminine woman 	to be his wife. But a truly Christian, 
2023-02-24_00-00-42_UTC.txt	we will host a conference call that will all us 	feminine woman 	to connect and chat virtually on our monthly 
2024-01-31_21-34-59_UTC.txt	and it’s important to be a smart, kind, caring, 	feminine woman 	to find a masculine man who is willing 
2023-12-09_05-56-36_UTC.txt	do all the things. It is not healthy for a 	feminine woman 	to live with a mindset and heart set 
2024-06-26_00-49-08_UTC.txt	a woman a feminine woman, and a man seeks a 	feminine woman 	to marry;  • Femininity makes a woman a true 
2017-05-24_14-41-57_UTC.txt	guilty because she gave him access. It is on the 	feminine woman 	to take care of herself FIRST, so that 
2022-12-05_23-09-12_UTC.txt	things that God wants you to know about becoming a 	feminine woman 	and I believe that you will fine this 
2022-04-22_21-01-31_UTC.txt	wonderful hygiene routine is essential to your elevation as a 	feminine woman 	and it let others know that you care 
2022-09-01_08-06-52_UTC.txt	duality is one of the key traits of the empowered 	feminine woman 	and leader.​​​​​​​​ ​​​​​​​​ If you are feeling grief, heartbreak, 
2021-07-21_17-45-48_UTC.txt	many things I pride myself on is being a black 	feminine woman 	and not settling for less than what I 
2023-10-09_02-53-21_UTC.txt	fully embrace this concept stops men from experiencing a truly 	feminine woman 	and stops women from coming home to themselves.   #
2022-07-04_17-04-24_UTC.txt	a...." post to show others what represents myself as a 	feminine woman 	and the things I desire in my feminine 
2021-03-29_17-05-25_UTC.txt	𝐻𝒶𝓅𝓅𝓎 𝑀𝑒𝓁𝒶𝓃𝒾𝓃 𝑀𝒶𝓇𝒸𝒽✨  As a 	feminine woman 	I find it very important to never have 
2021-04-23_17-19-01_UTC.txt	𝐿𝒶𝒹𝒾𝑒𝓈, As a 	feminine woman 	I find it very important to dead the 
2022-07-06_17-57-25_UTC.txt	having such a huge impact on her life.   As a 	feminine woman 	I can't be more thankful that I 
2022-07-04_17-04-24_UTC.txt	𝐿𝒶𝒹𝒾𝑒𝓈, as a 	feminine woman 	I feel we all deserve to live a 
2023-02-16_18-36-06_UTC.txt	happy and at peace vs stressed and angry. As a 	feminine woman 	I learned the importance of having the upper 
2022-04-04_17-21-07_UTC.txt	I don't know about you Hun but as a 	feminine woman 	I still sometimes struggle with seasonal anxiety and 
