File	Left Context	Hit	Right Context
2023-07-13_15-37-48_UTC.txt		Feminine women 	are beautiful inside and out. 🩷 • • • • • #traditional #traditionalvalues #tradwife #
2020-12-18_13-58-48_UTC.txt	was receiving regarding her conservative dating app Righter.  📍Conservative, traditional 	feminine women 	are in demand! 📍Folks cannot shame Good Girls 
2021-02-22_14-05-48_UTC.txt	The truth is, men have no problems being chivalrous.  📍Traditional 	feminine women 	are okay with gender roles and they like 
2021-01-15_14-30-36_UTC.txt	wound another person’s feelings when it comes to this. 	Feminine women 	are sensitive to other’s situation and show 
2024-06-23_17-57-25_UTC.txt	Modernism kills our femininity, because modernism says that traditional and 	feminine women 	are shameful;  • Modernism kills our decency, because modernism 
2022-08-15_18-44-58_UTC.txt	woman to be soft or submissive in a relationship?    Also 	feminine women 	are suppose to be alluring, nurturing, soft, full 
2023-09-09_15-35-25_UTC.txt	who need care, Stereotypically "masculine" women who are Godly, Stereotypically "	feminine" women 	who are faithful, Old women, Young women, Beautiful 
2023-06-02_01-58-01_UTC.txt	in Devotion of Love) and private mentorship - best suited for 	feminine women 	who desire a full spectrum life, love based 
2023-11-23_07-23-33_UTC.txt	practice is only a tool In rememberance.  There are deeply 	feminine women 	who have never done formal practice simply because 
2023-10-18_17-16-22_UTC.txt	We need more masculine men willing to pursue and more 	feminine women 	who inspire men to pursue them!  PS!!! 💎 If 
2023-06-30_12-18-37_UTC.txt	Apple and Google today to connect with a community of 	feminine women 	who uplift and inspire one another! Together, we 
2022-05-10_22-47-18_UTC.txt	really can be! Living in grace and ease as a 	feminine women 	should be the standard and I want to 
2020-10-19_12-54-39_UTC.txt	and compromise on what they believe to fit in.  ❤️Traditional 	Feminine women 	should be confident in their beliefs. Being passive 
2022-07-26_15-13-43_UTC.txt	8 TRAITS THAT 	FEMININE WOMEN 	SHOULD WORK ON GETTING ​​​​​​​​ ​​​​​​​​ Thoughtfulness​​​​​​​​ ​​​​​​​​ People who are 
2020-12-26_18-41-24_UTC.txt	and SAVE this post for future reference. Join us @traditional_	feminine_women 	and learn more in our Feminine Arts courses. (
2023-08-21_17-26-15_UTC.txt	rights anymore it’s about anti family and being  anti 	feminine women 	and masculinity in men. Don’t be fooled 
2020-11-09_14-38-05_UTC.txt	🇺🇸Know your value.  ❤️Traditional 	feminine women 	appreciate the traditional masculine man and the value 
2021-02-08_14-07-31_UTC.txt	inner work to genuinely effect the outer beauty and allure.  💄	Feminine women 	appreciate their differences from masculine men and embrace 
2020-05-18_18-17-42_UTC.txt	𝑏𝑖𝑔 misunderstanding today is that people view true femininity and 	feminine women 	as weak, passive, fragile women who can't 
2021-05-26_23-37-27_UTC.txt	was in my hyper independent masculine I judged soft emotional 	feminine women 	as weak.  When I was stuck on the 
2020-08-24_13-29-33_UTC.txt	when the masculine man is in the pilot’s seat. 	Feminine women 	can be indispensable and smart in the FEMININE 
2020-02-12_15-49-59_UTC.txt	Yes, 	feminine women 	can indeed have it all in Business and 
2020-12-05_18-38-08_UTC.txt	the confines of traditional committed exclusive relationships and marriages.  📍Traditional 	feminine women 	do not have FREE SEX. Her sensuality and 
2020-10-19_12-54-39_UTC.txt	a family. There is so much pressure to fit in.  ❤️	Feminine women 	do not have to  sacrifice their personal boundaries 
2022-09-02_01-22-09_UTC.txt	and I hope we are still working on becoming the 	feminine women 	we desire to be.   This month, we have 
2020-02-08_23-46-48_UTC.txt	compare ourselves to men, and start working on being the 	feminine women 	we were created to be. We can can 
2021-07-28_13-50-04_UTC.txt		Feminine women 	attract strong, masculine men 🌸💕  🌹 @fabianatassone   #femininity #truefemininity #masculinity #
2021-04-26_14-52-01_UTC.txt		Feminine women 	bloom in the presence of masculine men 🌹  #feminine #
2023-05-01_16-14-47_UTC.txt	of the feminine muse. 🌹💫  Ready to join a world where 	feminine women 	celebrate and uplift each other?✨Download the Feminine 
2020-10-23_13-26-15_UTC.txt	self with her man and make him addicted to her.  ❤️	Feminine women 	choose men who share their enthusiasm for the 
2024-01-18_16-49-32_UTC.txt	masculine men and 	feminine women 	compliment each other perfectly 🤍 
2022-06-21_15-47-32_UTC.txt		Feminine women 	create lives full of grace and ease. We 
2022-04-19_23-48-43_UTC.txt	notes and drink some tea ☕️ because that’s what we 	feminine women 	do.   🦋Here’s what we covered:  4 THINGS TO 
2022-05-02_16-45-17_UTC.txt	relationships. If you think I am wrong, that's fine...	feminine women 	don't tussle! 😩 But why tho???​​​​​​​​ ​​​​​​​​ Here is 
2019-02-19_13-42-02_UTC.txt		Feminine women 	don’t want to boss a man. They 
2024-05-02_17-42-27_UTC.txt	forcing themselves against their true nature but times are changing.   	Feminine women 	feel most at home when they feel safe 
2020-08-31_09-40-45_UTC.txt	it to.  Here’s the problem with this : 🗣 + it leaves 	feminine women 	feeling depleted, contracted and devoid of pleasure cos 
2023-07-23_21-43-44_UTC.txt	nonsense. Hopefully one day a movie comes out that celebrates 	FEMININE women 	for who we truly are. 🎀✨🌸 // #barbie #femininty #conservative #
2021-01-19_15-28-05_UTC.txt	~An appreciation post for the 	feminine women 	from the past~ I love admiring the femininity 
2022-08-20_18-53-05_UTC.txt	of mind above any physical action! Some of the most 	feminine women 	I have ever met wear jeans and little 
2020-04-04_18-09-35_UTC.txt		Feminine women 	inspire. #divinefeminine #femininity #feminine #relationshipgoals #relationshipquotes #relationshipadvice #marriage #
2022-07-20_17-20-46_UTC.txt	to be realistic when it come to dating.   As a 	feminine women 	it is important to be patient vs rushing 
2022-08-20_18-53-05_UTC.txt	jeans and little to no makeup, and someone the least 	feminine women 	I’ve known have worn skirts and dresses 
2020-06-29_13-07-42_UTC.txt	🌺	Feminine women 	making time for themselves to rest and recharge 
2022-04-04_17-21-07_UTC.txt	everything and I am not ashamed about it. ​​​​​​​​ ​​​​​​​​ Being a 	feminine women 	mean taking great care of yourself, your heart 
2024-04-25_12-11-08_UTC.txt	🌺	Feminine women 	naturally gravitate to mentally and physically strong men. 
2022-06-07_16-50-06_UTC.txt	visit www.foreverblackanddainty.com and connect with some of the 	feminine women 	on our platform. Having a powerful feminine community 
2023-07-04_00-47-10_UTC.txt	men operate more on a logical, mental and linear plane. 	Feminine women 	operate on a feeling, emotional, sensing and cyclical 
2020-11-13_14-48-15_UTC.txt	your feminine journey my Doves.  🤍Join us over on Traditional_	Feminine_Women 	page. It’s lit with content on femininity, 
2023-06-07_00-16-12_UTC.txt	connections are out she feels this seep into all areas.   	Feminine women 	particular are designed for live a life rich 
2021-05-14_13-21-28_UTC.txt	🌺Feminine women want competent men.  🌺Traditional 	feminine women 	prioritize competence when vetting a man. A man 
