File	Left Context	Hit	Right Context
2018-03-01_01-11-28_UTC.txt	are not meant to be. Photo borrowed from @european.daughter . #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-03-14_01-33-27_UTC.txt	paleskin #freckles #redhair #irishgirl #stpatricksday #strawberryblonde #identity #culture #european #femininitynotfeminism #	femininity #	feminism #women #beauty #traditions #modesty #selfrespect #feminismiscancer  #traditionalgenderroles #sahm #
2018-03-16_19-32-14_UTC.txt	authority: all these are old-fashioned and reactionary.  Oswald Spengler . . #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-03-21_01-52-55_UTC.txt	architecture #colonialhouse #capehouse #capecodstyle #garden #yard #lawn #grass #farmhouse #countrylife #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-03-22_16-43-21_UTC.txt	now I want a makeup vanity again... Stolen from: @_egidia . . #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #roots #freedom #
2018-03-24_22-51-05_UTC.txt	based on emotional events and twisted statistics. . . #girlswhocarry #2A #selfdefense #	femininity #	feminism #women #beauty #traditions #selfrespect #feminismiscancer  #traditionalgenderroles #sahm #family #
2018-03-28_19-51-26_UTC.txt	than just the few years you have here on Earth. . .  #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #motherhood #
2018-03-29_16-31-16_UTC.txt	in the summer! . . #hats #widebrimhat #fashion #messybun #paleskin #sunburn #redhead #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-01_22-25-43_UTC.txt	resurrectionsunday #christianity #flowers #freshcut #babysbreath #flora #nature #freshflowers #homedecor #greenery #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-03_00-38-34_UTC.txt	I will post about sheets:) . . #targetthreshold #floralsheets #homegoods #homedecor #linens #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-04_22-02-13_UTC.txt	a little one:) . . #bunnies #wool #handmade #imagination #authentictoys #swissmade #babygifts #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-06_18-22-13_UTC.txt	against the modern world.” . . #englishpainting #traditionalwoman #equestrian #englishsaddle #graceful #artrenaissance  #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-13_01-55-56_UTC.txt	leather #moccasins #minnetonka #slippers #qualitygoods #productsthatlast #genuineleather #animalprint #authentic #heritagegoods #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-20_15-20-52_UTC.txt	s self. “A secure family is a nation’s strength.” . . #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-22_19-31-39_UTC.txt	Wish I didn’t have to go to work now.. . . #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-24_00-02-15_UTC.txt	land . . #leather #canvas #rolltop #duffelbag #homedecor #heritagegoods #genuineleather #folklandbrand #craftandlore #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-26_18-50-37_UTC.txt	Ford or Jackie Kennedy.” Well done Melania, and Happy Birthday. . . 	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-27_19-27-43_UTC.txt	moral fabric of our nation. . . #rejectdegeneracy #plannedparenthood #prolife #disney #princess #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-04-29_20-01-23_UTC.txt	with no purpose. . . #identity #purpose #meaning #roots #foundation #biblical #names #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-05-09_03-29-55_UTC.txt	of my favorite actresses. . . #sewing #homemade #summerdress #keiraknightley #prideandprejudice #elizabethbennet #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-05-14_04-54-52_UTC.txt	Happy Mother’s Day! . . #	femininity #	feminism #women #beauty #compassion #motherhood #havebabies #leavealegacy #nurture #create #
2018-05-15_20-05-04_UTC.txt	care what celebrities have to say. . . #thirdwavefeminism #jenniferlawrence #hypocrite #madeupproblems #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-05-18_19-28-11_UTC.txt	russia . . #ms13 #animals #gangviolence #liberal #conservative #1984 #dystopia #republicans #democrats #failedsystem #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-05-20_22-27-28_UTC.txt	a beautiful and graceful discipline. . . #dancer #ballet #graceful #athletic #blonde #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2018-05-22_21-32-03_UTC.txt	better world for future generations. . . . #pioneers #buildingamerica #ancestors #neverfeelguilty #exploration #	femininity #	feminism #women #beauty #compassion #nurture #create #traditions #modesty #selfrespect #
2019-02-19_19-09-22_UTC.txt	I am, living somewhere that is such a winter wonderland! . . #	femininity #	feminism #women #beauty #compassion #nature #lovewhereyoulive #traditions #modesty #selfrespect #
2019-04-15_20-10-00_UTC.txt	replicated either. Unfortunately this comes right before we celebrate Easter. . . #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-04-16_20-51-01_UTC.txt	fashionable as this lil girl at the beach.. . . #summer #lakes #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-04-16_21-36-40_UTC.txt	holidays without compromising your health. I found these at @naturalgrocers . . #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-04-17_19-48-22_UTC.txt	house with you is so refreshing. . . #houseplants #greenthumb #freshhome #homedecor #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-05-10_20-55-47_UTC.txt	<<better than punching a clock, change my mind. . . #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-05-15_17-31-51_UTC.txt	s. how perfect is this little girl?? Even her outfit 🖤 . . #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-06-12_18-55-56_UTC.txt	one of the only colorful things I own! . . #apron #housewife #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-06-20_21-29-26_UTC.txt	mixed it all in coconut milk, bacon grease, and kale. . . #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-07-08_03-32-38_UTC.txt	Go outside. . . #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-07-13_18-33-53_UTC.txt	all day, send help. . . #crochetallday #crochetblanket #tassels  #lionsbrand #woolblanket #handmade #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-07-24_22-21-06_UTC.txt	course eucalyptus, that’s an easy one! . . #driedflowers #lavender #eucalyptus #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-07-25_23-09-19_UTC.txt	it.  But to live in ignorance is not our nature. . .  #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-08-12_18-41-25_UTC.txt	she still thinks of things like that! . . #woodspoons #5yearanniversary #marriage #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2019-11-06_21-06-03_UTC.txt	of my weird bad habits). \\ #dishes #handwash #mother #grandma #doingdishes #	femininity #	feminism #women #beauty #nature #create #traditions #modesty #selfrespect  #traditionalgenderroles #
2019-11-08_18-43-09_UTC.txt	fats. Yum. \\ #recipes #cookbook #germancooking #organmeats #steaktartare #goodfats #eatrealfood #eatmeatmakefamilies #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty #selfrespect  #
2020-01-01_20-07-17_UTC.txt	first kid:) Let me know what your goals are! \\ #2020 #fiddleleaffig #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty  #traditionalgenderroles #
2020-01-03_18-28-59_UTC.txt	out of in months!! \\ #reuse #recycle #thrifted #secondhand #fastfashion #slowfashion  #	femininity #	feminism #women #beauty #compassion #nature #create #traditions #modesty  #traditionalgenderroles #
2020-01-04_19-15-28_UTC.txt	policing the world and focus on our own issues. \\ #thoughts #	femininity #	feminism #women #beauty #compassion #nature #traditions #modesty  #traditionalgenderroles #sahm #
