File	Left Context	Hit	Right Context
2020-02-15_04-46-28_UTC.txt	women out there. Happy Valentine’s Day! \\ #valentinesday #lovestory #femininity #	feminism #	women #beauty #tradwife #traditional #compassion #nature #housewife #simplelife #create #
2020-02-17_00-14-18_UTC.txt	and your physical health matters. \\ #identity #suicideawarness #isolation #idaho #femininity #	feminism #	women #beauty #tradwife #traditional #compassion #nature #housewife #simplelife #create #
2020-02-18_03-34-21_UTC.txt	that I killed this plant... \\ #houseplant #dragontail #hangingplant #kitchen #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-02-19_06-08-07_UTC.txt	H O M E >><< #pnw #sunset #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-02-20_01-32-39_UTC.txt	qualitygoods #leatherpurse #leatherboots #horweenleather #chromexcel #thursdayboots #craftandlore #crossbodypurse #fiddleleaffig #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-02-23_22-08-23_UTC.txt	and can’t wait for it to come back:) \\ #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-01_21-05-22_UTC.txt	hit some thrift stores:) >><< #lazysunday #marriedlife #coffeeshop #latte #coffeedate #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-03_04-38-32_UTC.txt	to global consumerism. >><< #secondhandclothes #thrift #reuse #recycle #brass #sweaterweather #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-04_05-33-54_UTC.txt	compared to what lies within us.” Ralph Waldo Emerson \\ #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-13_20-25-28_UTC.txt	our lives as normal. >><< #latte #coffeeshop #quarantine  #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-15_21-41-19_UTC.txt	then panic and fear is not necessary. \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-17_00-28-13_UTC.txt	can never be too careful in this crazy world. \\ #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-17_19-29-45_UTC.txt	good life. \\ #stpatricksday #flanery #celtictrinityknot #celtictattoo #redhead #freckles #identity  #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-19_02-23-11_UTC.txt	have something to sip on.. \\ #slowandlowwhiskey #gearboxwine #whiskey #homebody #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-20_04-28-56_UTC.txt	some plans you have? \\ #organization #sweaters #quarantine #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-22_01-58-02_UTC.txt	to-day isn’t really affected. \\ #homebody #research #knowledgeispower #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
2020-03-23_04-30-04_UTC.txt	details. We like brass here. \\ #brasseagle #keyhook #homedecor #homedetails #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #compassion #nature #housewife #simplelife #
