       Wort  Häufigkeit
0        love       20819
1        make       19495
2         get       17591
3        time       16833
4         god       15839
5         day       15667
6         one       15151
7        life       14835
8        like       13873
9        know       13491
10      woman       13318
11      thing       13221
12       home       11747
13       want       11341
14     family       10539
15       need       10378
16       take       10375
17  homemaker       10026
18    husband        9836
19       work        9487
20        way        9444
21       feel        9337
22       year        9246
23      child        8730
24        see        8591
25        say        8144
26       come        8142
27      think        7980
28     little        7829
29       give        7787
